epa,station_key,city,site,site_code,o3,pmest,lon,lat,_created_at,_updated_at
25634,410351002,Crater Lake,Maintenance Area,CLM,0,1,-122.136,42.896,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
28859,410330114,Grants Pass,Parkside School,GPP,0,1,-123.346,42.432,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
20448,410290133,Medford,Grant and Belmont Streets,MGB,0,1,-122.879,42.314,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
31035,410170004,Sisters,Forest Service,SFS,0,1,-121.556,44.292,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
31023,410470007,Silverton,James and Western Streets,SJW,0,1,-122.79,45.015,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
32529,410190002,Roseburg,NW Garden Valley Blvd,RGV,0,1,-123.364,43.228,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
10139,410510080,Portland,SE Lafayette & SE 58th Sts,SEL,1,1,-122.602,45.497,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
31036,410330010,Cave Junction,Forest Service,CJFS,0,1,-123.648,42.162,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
31002,410610121,Eagle Cap Wilderness,Mt Fanny,MTF,0,0,-117.734,45.31,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
10123,410370001,Lakeview,Center & M Streets,LCM,0,1,-120.352,42.189,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
10130,410470004,Salem-Turner,Cascade Jr. High,CJH,1,0,-122.914,44.809,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
31000,410591003,Hermiston,Municipal Airport,HMA,1,0,-119.263,45.829,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
20481,410670111,Beaverton,Highland Park School,BHP,0,1,-122.816,45.47,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
10162,410630001,Enterprise,Forest Service,EFS,0,1,-117.296,45.426,Tue Apr 14 2015 14:50:42 GMT+0000 (UTC),Tue Apr 14 2015 14:50:42 GMT+0000 (UTC)
