Address,OwnedAcres,Property,PropertyID,SubArea,UnownedAcres,YearAcquired,Zip,_id__id,amenities_0,amenities_1,loc_lon,loc_lat,amenities_2,amenities_3,amenities_4,amenities_5,amenities_6,amenities_7,amenities_8,amenities_9,amenities_10,col_22,amenities_11,amenities_12,amenities_13,amenities_14,amenities_15,amenities_16,amenities_17,amenities_18,amenities_19,_created_at,_updated_at
SE 98th Ave & Stephens St,0.77,Cherry Blossom Park,1,OE,0,1995,97216,4ff75389c89f8f7b9f8f0100,paths : unpaved,picnic tables,-122.561931,45.509155,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE 110th Ave & Stephens St,10.33,Cherry Park,2,OE,0,1985,97216,4ff75389c89f8f7b9f900100,dog off-leash area,,-122.550905,45.509017,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NW 3rd Ave & Everett St,0.9,Lan Su Chinese Garden,8,CC/NW,0,2000,97209,4ff75389c89f8f7b9f920100,public garden,gift shop,-122.672957,45.525664,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE 18th Ave & Clinton St,0.42,Clinton Community Garden,9,SE,0,1994,97214,4ff75389c89f8f7b9f930100,community garden,,-122.647342,45.50381,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
3350 SE Francis St,0.23,Community Music Center,21,SE,0,1969,97202,4ff75389c89f8f7b9f9b0100,community center,disabled access restroom,-122.630472,45.494557,historical site,meeting room : reservable,stage : indoor,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SW Hamilton Ct (off Landing Dr),0.67,Cottonwood Bay,22,SW,0,1995,97219,4ff75389c89f8f7b9f9c0100,natural area,,-122.671255,45.489887,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
9360 N Columbia Blvd,18.32,Chimney Park,5,N,0,1932,97203,4ff75389c89f8f7b9f910100,dog off-leash area,picnic tables,-122.758471,45.606707,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE 20th Ave & Taylor St,0.78,Colonel Summers Community Garden,11,SE,0,1975,97214,4ff75389c89f8f7b9f950100,community garden,,-122.645911,45.51553,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
10040 NE 6th Ave,28.8,"Columbia Children's Arboretum",15,NE,0,1999,97211,4ff75389c89f8f7b9f980100,natural area,arboretum,-122.65937,45.593822,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NE 42nd Ave & Killingworth St,0.4,Cully Community Garden,28,NE,0,1993,97218,4ff75389c89f8f7b9fa10100,community garden,,-122.618628,45.562309,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
N Stanton St & Williams Ave,2.05,Dawson Park,33,NE,0,1921,97227,4ff75389c89f8f7b9fa30100,basketball court,disabled access play area,-122.667382,45.5442,disabled access restroom,paths : paved,picnic site : reservable,picnic tables,playground,stage,statue or public art,volleyball court,picnic shelter,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NE 22nd Ave & Killingsworth St,16.7,Alberta Park,49,NE,0,1921,97211,4ff75389c89f8f7b9fab0100,basketball court,disabled access play area,-122.644762,45.564473,disabled access restroom,dog off-leash area,paths : paved,paths : unpaved,picnic tables,playground,soccer field,softball field,tennis court,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE 92nd Ave & Taylor St,6.38,Berrydale Park,59,SE,0,1956,97216,4ff75389c89f8f7b9fb40100,picnic tables,playground,-122.570539,45.514762,soccer field,softball field,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE 30th Ave & Crystal Springs Blvd,0,Eastmoreland Playground Park,109,SE,0,1916,97202,4ff75389c89f8f7b9fc50100,playground,,-122.632603,45.466222,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NE 52nd Ave & Hassalo St,3.9,Frazer Park,130,NE,0,1950,97213,4ff75389c89f8f7b9fd50100,basketball court,dog off-leash area,-122.611457,45.530485,picnic tables,playground,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
