stationid_start,stationid_end,starttime,traveltime,_created_at,_updated_at
101054,101077,2015-05-01 00:00:22,131,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,104082,2015-05-01 00:00:41,224,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101077,2015-05-01 00:00:43,162,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101021,2015-05-01 00:01:06,60,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101008,2015-05-01 00:01:06,142,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101021,2015-05-01 00:01:08,41,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101077,2015-05-01 00:01:44,174,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200003,200005,2015-05-01 00:01:49,717,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200209,102082,2015-05-01 00:01:52,2442,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,104082,2015-05-01 00:01:53,217,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,200210,2015-05-01 00:02:02,374,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,102082,2015-05-01 00:02:02,720,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101008,2015-05-01 00:02:06,82,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:02:09,141,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101033,2015-05-01 00:02:16,187,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103082,104082,2015-05-01 00:02:51,138,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101042,2015-05-01 00:03:47,85,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:04:30,1162,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101033,2015-05-01 00:04:40,95,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200206,200205,2015-05-01 00:05:21,78,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:05:38,451,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101077,101054,2015-05-01 00:05:39,85,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101077,101042,2015-05-01 00:05:39,986,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101077,101042,2015-05-01 00:06:05,136,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101077,101054,2015-05-01 00:06:06,80,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:06:35,133,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101054,2015-05-01 00:06:43,180,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101077,2015-05-01 00:06:43,323,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200002,200001,2015-05-01 00:06:53,777,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200210,200209,2015-05-01 00:07:16,286,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:07:44,1032,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,103082,2015-05-01 00:08:02,150,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,105082,2015-05-01 00:08:02,281,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200209,103082,2015-05-01 00:08:08,1637,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200209,103082,2015-05-01 00:08:08,1173,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200210,200209,2015-05-01 00:08:14,860,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200210,102082,2015-05-01 00:08:14,217,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
